6	15	7	9	12	19	11	1	5	14	10	13	8	16	3	21	18	2	17	22	4	24	23	20	80	80	80	75	75	75	75	70	65	60	60	55	50	50	50	50	50	45	45	45	40	40	40	40	1	5	20	14	15	9	2	18	8	12	23	13	17	7	6	22	19	10	24	4	21	3	11	16	90	90	90	90	85	85	85	85	70	70	70	60	60	60	50	50	50	40	40	40	40	30	30	30	18	1	10	16	12	24	8	15	7	21	9	19	6	5	14	13	20	17	22	4	11	23	3	2	90	90	90	90	90	90	90	90	90	90	80	60	60	60	60	55	55	55	55	55	55	41	30	20	3	2	11	1	23	5	16	4	17	6	18	13	8	24	21	9	22	19	20	15	14	10	12	7	95	95	95	90	90	90	90	90	90	90	70	70	70	70	70	70	70	50	50	50	50	50	50	40
3	18	5	12	4	17	2	6	7	14	19	9	8	13	1	10	22	20	16	15	11	21	24	23	91	90	90	85	84	83	82	81	80	80	78	77	76	75	74	64	63	62	59	58	50	49	48	47	2	4	5	12	3	1	15	18	6	19	23	21	10	9	16	22	13	11	20	7	24	8	17	14	95	95	94	94	93	93	92	92	91	91	90	90	88	87	86	85	84	80	80	70	69	60	59	58	15	1	2	20	18	22	3	19	4	16	5	21	6	7	13	17	14	12	23	8	11	24	9	10	95	95	95	95	95	95	95	95	95	95	88	86	80	79	78	77	76	75	74	73	72	65	60	60	4	6	2	3	22	5	23	19	13	7	18	16	11	24	14	17	10	15	8	9	12	20	21	1	95	95	95	95	95	95	90	90	90	90	88	86	84	83	82	80	80	78	77	75	74	70	69	68
23	2	22	24	21	1	20	19	18	3	17	4	13	12	14	5	6	16	8	7	15	11	9	10	80	74	74	71	71	71	68	64	64	64	64	64	62	62	60	60	60	60	60	60	60	60	60	60	17	18	16	14	15	24	20	13	1	12	11	2	19	22	8	7	3	6	9	21	4	23	5	10	100	100	95	94	90	90	90	90	90	90	89	85	85	85	85	85	80	80	80	80	80	80	80	60	7	23	22	1	8	21	20	9	19	2	24	3	17	14	10	12	5	11	4	13	18	6	16	15	100	100	100	100	100	100	100	100	93	93	93	83	83	83	83	83	83	83	78	78	78	70	70	70	24	23	11	20	10	12	9	21	8	19	13	7	16	14	6	15	3	4	5	2	1	18	22	17	100	100	100	100	100	100	100	100	100	100	90	90	90	90	90	90	90	78	78	78	70	66	60	60
20	10	11	24	21	3	9	16	15	2	23	7	14	8	13	1	6	19	18	5	22	17	12	4	90	88	86	86	85	83	83	80	77	75	72	70	66	64	63	60	58	56	56	51	45	40	35	30	14	1	7	8	23	5	24	2	10	6	22	13	21	3	17	15	20	16	18	4	19	9	11	12	80	80	78	77	74	74	73	71	68	66	65	60	55	52	48	48	46	43	40	39	36	32	25	20	23	22	6	3	1	21	7	24	8	9	19	4	18	17	11	10	2	12	5	13	20	14	15	16	90	87	86	86	85	82	79	78	78	75	74	70	70	68	65	65	61	60	61	59	57	52	47	40	1	23	6	2	22	24	14	21	12	3	13	4	20	18	11	15	17	8	7	5	9	10	19	16	92	90	88	87	85	81	76	73	71	68	64	60	57	57	55	51	50	46	44	36	36	33	33	30
4	14	6	7	12	18	1	5	8	19	11	20	9	13	3	24	17	10	21	22	2	16	23	15	90	88	86	85	85	84	84	83	83	81	80	76	76	75	74	74	73	72	72	71	70	69	68	66	4	9	11	18	3	20	7	14	8	16	19	23	22	6	5	12	15	21	10	2	24	1	13	17	95	94	92	91	90	89	88	88	87	86	85	84	82	82	81	81	80	78	77	76	75	73	71	70	19	4	3	22	16	12	7	15	5	21	6	18	1	10	14	13	20	17	23	11	8	24	2	9	98	97	97	96	96	95	94	93	93	92	92	88	80	78	77	76	75	74	73	72	70	68	64	60	5	4	10	3	24	1	15	19	20	2	13	9	7	22	23	6	16	11	8	12	14	17	18	21	94	94	93	92	92	91	90	86	85	85	84	84	83	82	81	80	80	79	78	77	73	71	69	67
2	3	4	6	9	11	1	5	7	8	14	22	13	19	17	24	21	12	10	16	18	20	15	23	95	89	84	81	76	72	69	66	63	58	53	49	49	46	42	40	38	38	34	31	30	29	24	13	4	21	9	23	20	22	5	18	19	15	24	10	17	3	14	13	8	16	11	2	6	1	7	12	97	96	91	89	89	85	81	80	80	79	79	78	76	76	69	53	47	43	39	38	30	20	12	7	11	9	15	21	13	12	17	10	16	19	24	3	23	5	7	8	6	2	22	1	4	20	14	18	96	92	87	82	78	74	70	64	62	53	50	46	39	38	38	37	35	32	29	26	24	22	15	8	7	3	1	4	20	8	23	5	19	9	24	2	6	18	10	21	15	16	13	12	11	17	22	14	98	93	92	89	86	85	83	80	77	75	71	69	67	65	63	61	59	43	35	33	28	22	14	5
15	13	17	22	19	12	21	10	7	1	18	3	16	9	23	4	11	20	14	5	8	6	24	2	100	96	94	90	87	83	83	79	73	72	70	69	65	65	62	60	58	55	55	55	50	45	45	40	9	2	8	21	3	19	10	22	4	13	20	15	16	1	6	11	23	17	12	5	24	7	14	18	100	96	93	91	91	88	87	85	82	77	74	72	68	65	63	60	56	55	54	52	52	48	47	45	18	2	1	21	13	3	4	16	5	17	6	20	12	7	15	14	19	22	23	10	11	24	9	8	100	97	96	96	95	95	95	93	93	92	90	90	80	75	74	73	69	60	55	52	51	45	35	20	2	6	20	3	23	7	24	8	21	1	19	18	10	9	17	11	13	14	15	22	16	4	5	12	100	100	95	93	91	90	83	79	78	76	74	60	54	52	50	50	47	46	45	43	40	30	25	20
5	20	7	9	12	14	1	6	8	22	10	16	4	17	2	24	21	11	15	23	3	13	18	19	95	94	93	92	91	90	90	90	90	88	87	86	85	85	82	82	81	80	80	80	75	75	75	75	6	2	4	18	3	16	9	13	7	21	19	20	23	1	10	12	15	17	11	8	24	5	14	22	98	95	94	93	93	92	92	91	90	90	90	90	88	88	87	85	85	83	82	80	80	79	77	70	14	1	2	24	19	12	3	17	4	18	5	20	6	10	16	15	23	13	21	7	8	22	9	11	98	97	96	96	95	95	94	93	93	92	90	90	88	88	87	87	86	85	85	83	80	80	80	80	1	11	13	3	22	12	21	4	24	2	17	14	9	10	20	8	18	15	16	19	23	6	5	7	99	99	97	96	95	95	94	93	92	92	91	90	90	87	85	85	85	85	83	82	82	81	81	80
4	18	8	12	10	14	3	7	6	21	9	19	5	13	2	23	17	11	16	22	1	15	24	20	100	98	95	93	92	90	89	85	84	84	80	75	70	66	63	60	55	54	47	45	39	33	26	19	3	2	12	15	4	11	8	14	6	16	18	22	19	1	5	17	21	20	13	7	24	10	9	23	100	97	96	95	93	93	91	89	85	83	80	79	74	69	66	65	61	56	50	45	41	34	27	20	22	1	2	20	16	15	4	12	3	23	5	21	6	7	17	13	19	14	18	8	9	24	10	11	100	98	97	95	94	93	91	90	89	86	86	72	70	68	66	63	61	56	51	41	37	29	22	18	1	2	19	3	24	11	5	7	6	4	17	18	12	13	23	10	22	16	20	21	15	8	14	9	100	95	93	93	92	91	88	84	84	82	80	78	76	74	71	68	66	64	60	57	53	49	46	39
7	22	8	4	10	18	9	2	6	21	14	23	5	12	1	19	16	11	13	20	3	17	24	15	80	75	70	70	60	55	55	45	40	35	35	35	20	20	15	10	5	5	5	1	1	1	1	1	18	7	23	1	22	2	21	14	16	3	11	13	12	5	15	20	19	9	17	10	24	4	8	6	95	89	80	80	80	70	70	65	65	60	60	50	50	30	30	30	30	20	20	20	20	10	10	10	17	11	10	20	18	24	9	19	6	16	1	12	3	2	15	14	22	13	21	5	8	23	4	7	80	80	80	80	70	70	70	70	70	70	60	40	40	40	40	40	30	30	30	30	20	20	10	1	2	10	6	4	24	8	20	13	21	1	18	15	11	12	22	5	23	17	3	16	19	7	9	14	80	80	71	71	65	63	50	50	50	50	50	35	35	35	35	20	20	20	11	11	1	1	1	1
