| xq | 5 | 6 | 4 | 6 | 6 | 6 |
| lzj | 5 | 6 | 5 | 4 | 5 | 6 |
| tty | 4 | 6 | 5 | 7 | 3 | 7 |
| azd | 6 | 7 | 7 | 5 | 6 | 7 |
| ytj | 6 | 4 | 5 | 5 | 4 | 6 |
| lly | 4 | 5 | 6 | 6 | 2 | 4 |
| cyy | 6 | 7 | 7 | 7 | 6 | 6 |
| frw | 5 | 6 | 5 | 3 | 4 | 6 |
| djy | 6 | 5 | 6 | 6 | 6 | 6 |
| zyx | 7 | 5 | 7 | 6 | 2 | 6 |
| crj | 6 | 5 | 5 | 7 | 4 | 5 |
| ylc | 6 | 5 | 2 | 6 | 4 | 6 |
| xtx | 3 | 4 | 2 | 5 | 4 | 5 |
| zhp | 6 | 6 | 6 | 5 | 5 | 6 |
| jjx | 7 | 6 | 7 | 6 | 6 | 6 |
| lbc | 6 | 4 | 5 | 6 | 6 | 7 |
| zxy | 5 | 6 | 6 | 5 | 6 | 6 |
| zyw | 7 | 6 | 6 | 5 | 6 | 7 |
| lgz | 5 | 6 | 3 | 6 | 5 | 7 |
| ywt | 5 | 6 | 6 | 7 | 5 | 6 |
| dyc | 6 | 6 | 5 | 6 | 5 | 7 |
| lyf | 7 | 5 | 4 | 6 | 6 | 5 |
| wzz | 6 | 5 | 5 | 5 | 6 | 6 |
| hmf | 5 | 4 | 5 | 2 | 3 | 4 |
